las relaciones personales	personal relationships
la amistad	friendship
el ánimo	spirit; mood
el chisme	gossip
la cita (a ciegas)	(blind) date
el compromiso	commitment; responsibility
el deseo	desire; wish
el divorcio	divorce
la (in)fidelidad	(un)faithfulness; (in)fidelity
el matrimonio	marriage
la pareja	couple
el riesgo	risk
compartir	to share
confiar (en)	to trust (in)
contar (con)	to rely on, to count on
coquetear	to flirt
dejar a alguien	to leave someone
dejar plantado/a	to stand (someone) up
discutir	to argue
ligar	to flirt, to hook up
merecer	to deserve
romper (con)	to break up (with)
salir (con)	to go out (with)
los sentimientos	feelings
enamorarse (de)	to fall in love (with)
enojarse	to get angry
estar harto/a	to be fed up (with); to be sick (of)
llevarse bien	to get along well
llevarse mal	to get along badly
llevarse fatal	to get along terribly
odiar	to hate
ponerse pesado/a	to become annoying
quererse	to love one another
sentirse	to feel
soñar con	to dream about
tener celos (de)	to be jealous (of)
tener vergüenza (de)	to be ashamed (of)
los estados emocionales	emotions
estar agobiado/a	overwhelmed
estar ansioso/a	anxious
estar celoso/a	jealous
estar deprimido/a	depressed
estar disgustado/a	upset
estar emocionado/a	excited
estar enojado/a	angry, mad
estar pasajero/a	fleeting, temporary
estar preocupado/a (por)	worried (about)
los estados civiles	marital status
casarse (con)	to get married (to)
divorciarse (de)	to get divorced (from)
estar casado/a	married
estar divorciado/a	divorced
estar separado/a	separated
ser soltero/a	single
ser viudo/a	widow/widower
las personalidades	personalities
ser cariñoso/a	affectionate
ser cuidadoso/a	careful
ser falso/a	insincere
ser genial	wonderful
ser gracioso/a	funny/pleasant
ser inolvidable	unforgettable
ser inseguro/a	insecure
ser maduro/a	mature
ser mentiroso/a	lying; liar
ser orgulloso/a	proud
ser seguro/a	secure; confident
ser sensible	sensitive
ser tacaño/a	cheap; stingy
ser tempestuoso/a	stormy, hot tempered
ser tímido/a	shy
ser tranquilo/a	calm
